DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC PERSONS REPORTED,20200411161449.000000000,20200411154126.000000000,20200411153842.000000000,20200411153555.000000000,20200411153646.000000000,20200411165251.000000000,DF-20-004573,235819,C,D3,314167,,1
FIRE/DOMESTIC PERSONS REPORTED,20200411050429.000000000,20200411043223.000000000,20200411041425.000000000,20200411041103.000000000,20200411041245.000000000,20200411051148.000000000,DF-20-004564,244470,D,D6,323722,,1
FIRE/DOMESTIC,20200410220446.000000000,20200410215259.000000000,20200410214806.000000000,20200410214533.000000000,20200410214721.000000000,20200410221216.000000000,DF-20-004546,231414,A,D1,315334,,1
FIRE/DOMESTIC,20200410062424.000000000,20200410061154.000000000,20200410060815.000000000,20200410060207.000000000,20200410060546.000000000,20200410062836.000000000,DF-20-004511,227826,A,D12,325170,,1
FIRE/DOMESTIC PERSONS REPORTED,20200407133741.000000000,20200407122111.000000000,20200407121238.000000000,20200407120937.000000000,20200407121131.000000000,20200407134456.000000000,DF-20-004356,227713,B,D7,309763,,1
FIRE/DOMESTIC PERSONS REPORTED,20200407093252.000000000,20200407090616.000000000,20200407090233.000000000,20200407085944.000000000,20200407090123.000000000,20200407093839.000000000,DF-20-004354,232097,B,D2,315863,,1
FIRE/DOMESTIC,20200407004054.000000000,20200407003025.000000000,20200407002525.000000000,20200407002116.000000000,20200407002359.000000000,20200407004759.000000000,DF-20-004349,240006,F,D5,314752,,1
FIRE/DOMESTIC,20200406072316.000000000,20200406072000.000000000,20200406071215.000000000,20200406070826.000000000,20200406071044.000000000,20200406073127.000000000,DF-20-004324,225338,B,D7,308543,,1
FIRE/DOMESTIC,20200405205415.000000000,20200405203103.000000000,20200405202415.000000000,20200405202120.000000000,20200405202339.000000000,20200405205927.000000000,DF-20-004298,226707,A,D8,318375,,1
FIRE/DOMESTIC PERSONS REPORTED,20200405200719.000000000,20200405192509.000000000,20200405192108.000000000,20200405191748.000000000,20200405191950.000000000,20200405201011.000000000,DF-20-004296,230483,B,D2,314595,,1
FIRE/DOMESTIC,20200405134922.000000000,20200405134010.000000000,20200405133610.000000000,20200405133354.000000000,20200405133445.000000000,20200405135339.000000000,DF-20-004278,246165,F,D13,319664,,1
FIRE/DOMESTIC,20200405094501.000000000,20200405092845.000000000,20200405092458.000000000,20200405092122.000000000,20200405092346.000000000,20200405094547.000000000,DF-20-004274,235493,C,D3,313410,,1
FIRE/DOMESTIC,20200405025357.000000000,20200405024557.000000000,20200405024213.000000000,20200405023903.000000000,20200405024021.000000000,20200405025536.000000000,DF-20-004265,233073,B,D2,314175,,1
FIRE/DOMESTIC,20200404200002.000000000,20200404193302.000000000,20200404192904.000000000,20200404192559.000000000,20200404192753.000000000,20200404200407.000000000,DF-20-004256,228385,A,D8,314107,,1
FIRE/DOMESTIC,20200403163532.000000000,20200403162754.000000000,20200403162140.000000000,20200403161909.000000000,20200403162051.000000000,20200403164121.000000000,DF-20-004221,224050,A,D12,324898,,1
FIRE/DOMESTIC PERSONS REPORTED,20200403154901.000000000,20200403152014.000000000,20200403151454.000000000,20200403151124.000000000,20200403151341.000000000,20200403163141.000000000,DF-20-004217,232347,B,D7,306809,,1
FIRE/DOMESTIC,20200403160340.000000000,20200403151949.000000000,20200403151559.000000000,20200403151033.000000000,20200403151353.000000000,20200403161744.000000000,DF-20-004216,264379,F,D23,319556,,1
FIRE/DOMESTIC PERSONS REPORTED,20200402205821.000000000,20200402203516.000000000,20200402202434.000000000,20200402201920.000000000,20200402202244.000000000,20200402211756.000000000,DF-20-004184,225885,A,D8,317765,,1
FIRE/DOMESTIC,20200402183656.000000000,20200402175829.000000000,20200402175318.000000000,20200402175004.000000000,20200402175152.000000000,20200402200525.000000000,DF-20-004170,233246,B,D7,309998,,1
FIRE/DOMESTIC,20200402022933.000000000,20200402022141.000000000,20200402021459.000000000,20200402021146.000000000,20200402021311.000000000,20200402023757.000000000,DF-20-004144,223975,A,D12,325110,,1
FIRE/DOMESTIC PERSONS REPORTED,20200331202306.000000000,20200331195022.000000000,20200331194425.000000000,20200331194153.000000000,20200331194316.000000000,20200331211032.000000000,DF-20-004107,226106,B,D7,308452,,1
FIRE/DOMESTIC,20200331150455.000000000,20200331142732.000000000,20200331142233.000000000,20200331142032.000000000,20200331142149.000000000,20200331151209.000000000,DF-20-004092,250905,F,D13,319967,,1
FIRE/DOMESTIC,20200331032448.000000000,20200331024409.000000000,20200331023534.000000000,20200331023157.000000000,20200331023337.000000000,20200331033038.000000000,DF-20-004080,240546,D,D6,320398,,1
FIRE/DOMESTIC,20200331023007.000000000,20200331020733.000000000,20200331020525.000000000,20200331020115.000000000,20200331020324.000000000,20200331023139.000000000,DF-20-004078,238916,F,D5,313819,,1
FIRE/DOMESTIC,20200331022654.000000000,20200331021246.000000000,20200331020404.000000000,20200331020110.000000000,20200331020244.000000000,20200331023046.000000000,DF-20-004077,238961,F,D5,313750,,1
FIRE/DOMESTIC,20200330121043.000000000,20200330114159.000000000,20200330113745.000000000,20200330113210.000000000,20200330113615.000000000,20200330122109.000000000,DF-20-004045,228893,A,D8,314607,,1
FIRE/DOMESTIC PERSONS REPORTED,20200330082712.000000000,20200330081551.000000000,20200330081236.000000000,20200330080932.000000000,20200330081112.000000000,20200330083924.000000000,DF-20-004037,238878,F,D5,313973,,1
FIRE/DOMESTIC PERSONS REPORTED,20200329110443.000000000,20200329093553.000000000,20200329092823.000000000,20200329092433.000000000,20200329092707.000000000,20200329113532.000000000,DF-20-004004,240517,C,D9,306179,,1
FIRE/DOMESTIC,20200328191803.000000000,20200328191506.000000000,20200328190946.000000000,20200328190609.000000000,20200328190802.000000000,20200328200835.000000000,DF-20-003985,227289,A,D12,324724,,1
FIRE/DOMESTIC,20200328191500.000000000,20200328185930.000000000,20200328185411.000000000,20200328185038.000000000,20200328185221.000000000,20200328191752.000000000,DF-20-003982,240256,F,D5,316056,,1
FIRE/DOMESTIC PERSONS REPORTED,20200328173242.000000000,20200328172017.000000000,20200328171511.000000000,20200328171214.000000000,20200328171336.000000000,20200328182936.000000000,DF-20-003977,226963,B,D7,310000,,1
FIRE/DOMESTIC,20200327235520.000000000,20200327234326.000000000,20200327233906.000000000,20200327233513.000000000,20200327233815.000000000,20200327235854.000000000,DF-20-003954,239667,D,D6,321756,,1
FIRE/DOMESTIC PERSONS REPORTED,20200327193929.000000000,20200327192449.000000000,20200327191801.000000000,20200327191556.000000000,20200327191647.000000000,20200327225658.000000000,DF-20-003937,240862,F,D5,313851,,1
