DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC PERSONS REPORTED,20200327192422.000000000,20200327191954.000000000,20200327191016.000000000,20200327190755.000000000,20200327190921.000000000,20200327201900.000000000,DF-20-003936,226103,A,D8,312592,,1
FIRE/DOMESTIC,20200327174058.000000000,,20200327172352.000000000,20200327171906.000000000,20200327172038.000000000,20200327174637.000000000,DF-20-003932,225708,A,D8,311351,,1
FIRE/DOMESTIC,20200327144236.000000000,20200327144028.000000000,20200327143127.000000000,20200327142915.000000000,20200327143038.000000000,20200327150406.000000000,DF-20-003928,263468,F,D23,320259,,1
FIRE/DOMESTIC PERSONS REPORTED,20200326230441.000000000,20200326222925.000000000,20200326222706.000000000,20200326222349.000000000,20200326222523.000000000,20200326231951.000000000,DF-20-003915,234533,C,D3,315157,,1
FIRE/DOMESTIC,20200326184923.000000000,20200326175225.000000000,20200326174752.000000000,20200326174431.000000000,20200326174613.000000000,20200326190610.000000000,DF-20-003888,233586,B,D2,313086,,1
FIRE/DOMESTIC PERSONS REPORTED,20200326103642.000000000,20200326101716.000000000,20200326101003.000000000,20200326100405.000000000,20200326100827.000000000,20200326112126.000000000,DF-20-003880,234703,B,D7,307813,,1
FIRE/DOMESTIC,20200325215937.000000000,20200325215910.000000000,20200325215314.000000000,20200325214834.000000000,20200325215235.000000000,20200325221919.000000000,DF-20-003860,239416,F,D5,314117,,1
FIRE/DOMESTIC,20200325215942.000000000,20200325214754.000000000,20200325214629.000000000,20200325214356.000000000,20200325214521.000000000,20200325220252.000000000,DF-20-003859,238903,F,D5,312828,,1
FIRE/DOMESTIC,20200325191848.000000000,20200325190216.000000000,20200325184826.000000000,20200325184326.000000000,20200325184752.000000000,20200325192647.000000000,DF-20-003842,255123,F,D24,321005,,1
FIRE/DOMESTIC,20200325023736.000000000,20200325003816.000000000,20200325003501.000000000,20200325003205.000000000,20200325003246.000000000,20200325024154.000000000,DF-20-003826,234804,E,D10,315738,,1
FIRE/DOMESTIC,20200324192057.000000000,20200324190740.000000000,20200324190228.000000000,20200324185916.000000000,20200324190042.000000000,20200324202103.000000000,DF-20-003818,227559,B,D7,308099,,1
FIRE/DOMESTIC PERSONS REPORTED,20200324171440.000000000,20200324170154.000000000,20200324165922.000000000,20200324165528.000000000,20200324165745.000000000,20200324172042.000000000,DF-20-003815,235889,C,D3,315799,,1
FIRE/DOMESTIC,20200324103450.000000000,20200324100142.000000000,20200324095545.000000000,20200324095321.000000000,20200324095447.000000000,20200324113127.000000000,DF-20-003809,245603,F,D13,319067,,1
FIRE/DOMESTIC PERSONS REPORTED,20200324064520.000000000,,20200324060656.000000000,20200324060358.000000000,20200324060429.000000000,20200324065056.000000000,DF-20-003806,238634,C,D9,305817,,1
FIRE/DOMESTIC PERSONS REPORTED,20200324011810.000000000,,20200324011031.000000000,20200324010644.000000000,20200324010918.000000000,20200324012042.000000000,DF-20-003798,227409,B,D7,307866,,1
FIRE/DOMESTIC,20200323203230.000000000,20200323202005.000000000,20200323201400.000000000,20200323201036.000000000,20200323201339.000000000,20200323205952.000000000,DF-20-003788,233433,,D2,310611,,1
FIRE/DOMESTIC PERSONS REPORTED,,,,20200323200954.000000000,20200323201211.000000000,20200323201219.000000000,DF-20-003787,233404,B,D2,310628,,1
FIRE/DOMESTIC,20200322191350.000000000,20200322190301.000000000,20200322190202.000000000,20200322185712.000000000,20200322190010.000000000,20200322193704.000000000,DF-20-003715,235665,D,D4,317121,,1
FIRE/DOMESTIC,20200322020542.000000000,20200322012617.000000000,20200322012015.000000000,20200322011605.000000000,20200322011816.000000000,20200322021444.000000000,DF-20-003693,226542,B,D7,310398,,1
FIRE/DOMESTIC PERSONS REPORTED,20200321213325.000000000,20200321205940.000000000,20200321205658.000000000,20200321205427.000000000,20200321205548.000000000,20200322000349.000000000,DF-20-003687,233543,B,D2,314205,,1
FIRE/DOMESTIC PERSONS REPORTED,20200321193804.000000000,20200321192303.000000000,20200321191213.000000000,20200321190745.000000000,20200321191054.000000000,20200321195943.000000000,DF-20-003680,234021,B,D7,302498,,1
FIRE/DOMESTIC,20200320205128.000000000,20200320204559.000000000,20200320204125.000000000,20200320203757.000000000,20200320204016.000000000,20200320210409.000000000,DF-20-003654,228263,B,D7,307371,,1
FIRE/DOMESTIC,20200320191123.000000000,20200320182950.000000000,20200320182543.000000000,20200320182330.000000000,20200320182429.000000000,20200320193104.000000000,DF-20-003649,237961,F,D5,312962,,1
FIRE/DOMESTIC,20200320152153.000000000,20200320135917.000000000,20200320135611.000000000,20200320135151.000000000,20200320135401.000000000,20200320152835.000000000,DF-20-003619,235274,E,D10,316153,,1
FIRE/DOMESTIC,20200319192235.000000000,20200319191613.000000000,20200319190924.000000000,20200319190616.000000000,20200319190816.000000000,20200319202517.000000000,DF-20-003597,240377,D,D6,317100,,1
FIRE/DOMESTIC,20200319135613.000000000,20200319120746.000000000,20200319120510.000000000,20200319120213.000000000,20200319120313.000000000,20200319135834.000000000,DF-20-003570,235820,C,D3,313948,,1
FIRE/DOMESTIC PERSONS REPORTED,20200319063924.000000000,20200319061406.000000000,20200319061157.000000000,20200319060752.000000000,20200319060944.000000000,20200319064842.000000000,DF-20-003569,228050,A,D8,314558,,1
FIRE/DOMESTIC,20200318195631.000000000,,20200318194943.000000000,20200318194551.000000000,20200318194707.000000000,20200318203511.000000000,DF-20-003554,240704,D,D6,318808,,1
FIRE/DOMESTIC,20200317220702.000000000,20200317215825.000000000,20200317214920.000000000,20200317214508.000000000,20200317214803.000000000,20200317221941.000000000,DF-20-003518,226410,B,D7,305304,,1
FIRE/DOMESTIC PERSONS REPORTED,20200317214717.000000000,20200317205810.000000000,20200317205000.000000000,20200317204725.000000000,20200317204845.000000000,20200317221137.000000000,DF-20-003516,240688,D,D6,318798,,1
FIRE/DOMESTIC,20200317152251.000000000,20200317143434.000000000,20200317142847.000000000,20200317142432.000000000,20200317142745.000000000,20200317153333.000000000,DF-20-003492,230222,B,D2,311268,,1
FIRE/DOMESTIC,20200316213219.000000000,20200316211952.000000000,20200316211613.000000000,20200316211322.000000000,20200316211439.000000000,20200316213227.000000000,DF-20-003473,226227,B,D7,305776,,1
FIRE/DOMESTIC PERSONS REPORTED,20200316204241.000000000,20200316200823.000000000,20200316200101.000000000,20200316195803.000000000,20200316195942.000000000,20200316211109.000000000,DF-20-003467,228713,B,D7,310306,,1
FIRE/DOMESTIC,20200316194021.000000000,20200316191602.000000000,20200316191211.000000000,20200316190759.000000000,20200316191115.000000000,20200316224735.000000000,DF-20-003465,236477,D,D4,318573,,1
FIRE/DOMESTIC,20200316035432.000000000,20200316032431.000000000,20200316032202.000000000,20200316031851.000000000,20200316031919.000000000,20200316035714.000000000,DF-20-003438,238434,F,D5,314104,,0
FIRE/DOMESTIC,20200315144036.000000000,20200315142911.000000000,20200315142003.000000000,20200315141524.000000000,20200315141829.000000000,20200315153031.000000000,DF-20-003404,226710,A,D12,326700,,1
FIRE/DOMESTIC,20200315140534.000000000,20200315134649.000000000,20200315134623.000000000,20200315134144.000000000,20200315134438.000000000,20200315141423.000000000,DF-20-003401,241799,D,D6,319483,,1
FIRE/DOMESTIC,20200314154537.000000000,20200314153626.000000000,20200314152651.000000000,20200314152259.000000000,20200314152548.000000000,20200314172543.000000000,DF-20-003372,228878,B,D7,312489,,1
FIRE/CARAVAN,20200314110309.000000000,,20200314105019.000000000,20200314104713.000000000,20200314104930.000000000,20200314164933.000000000,DF-20-003360,240586,F,D5,314988,,1
FIRE/DOMESTIC,20200314102022.000000000,,20200314095836.000000000,20200314095508.000000000,20200314095715.000000000,20200314113023.000000000,DF-20-003356,240928,D,D6,322198,,1
FIRE/DOMESTIC PERSONS REPORTED,20200314062136.000000000,20200314051514.000000000,20200314050941.000000000,20200314050702.000000000,20200314050751.000000000,20200314063225.000000000,DF-20-003349,230780,A,D8,315918,,1
FIRE/DOMESTIC,20200313214357.000000000,20200313213656.000000000,20200313213436.000000000,20200313212923.000000000,20200313213242.000000000,20200313220319.000000000,DF-20-003333,234968,E,D10,316601,,1
FIRE/DOMESTIC,20200313125355.000000000,20200313122220.000000000,20200313121924.000000000,20200313121657.000000000,20200313121827.000000000,20200313130155.000000000,DF-20-003321,238933,F,D5,314295,,1
FIRE/DOMESTIC,20200313113045.000000000,20200313104641.000000000,20200313104242.000000000,20200313103753.000000000,20200313104146.000000000,20200313113428.000000000,DF-20-003318,235008,E,D10,316205,,1
FIRE/DOMESTIC,20200313025354.000000000,20200313025202.000000000,20200313024749.000000000,20200313024430.000000000,20200313024530.000000000,20200313025949.000000000,DF-20-003315,232514,B,D2,311063,,1
FIRE/DOMESTIC,20200312230109.000000000,20200312224218.000000000,20200312224131.000000000,20200312223655.000000000,20200312223942.000000000,20200312230602.000000000,DF-20-003312,238657,D,D6,317942,,1
FIRE/DOMESTIC,20200312105647.000000000,20200312100058.000000000,20200312094425.000000000,20200312094131.000000000,20200312094237.000000000,20200312111537.000000000,DF-20-003287,223265,B,D7,303461,,1
FIRE/DOMESTIC PERSONS REPORTED,20200312005656.000000000,20200312002219.000000000,20200312001914.000000000,20200312001441.000000000,20200312001711.000000000,20200312013748.000000000,DF-20-003278,231952,B,D2,311128,,1
FIRE/DOMESTIC,20200311203923.000000000,,20200311201753.000000000,20200311201218.000000000,20200311201603.000000000,20200311210904.000000000,DF-20-003274,245555,F,D13,317262,,1
FIRE/DOMESTIC,20200311202248.000000000,20200311201217.000000000,20200311200543.000000000,20200311200238.000000000,20200311200443.000000000,20200311222154.000000000,DF-20-003270,239911,F,D5,314747,,1
FIRE/DOMESTIC PERSONS REPORTED,20200311204009.000000000,20200311195755.000000000,20200311195308.000000000,20200311195003.000000000,20200311195142.000000000,20200311204105.000000000,DF-20-003268,233079,A,D1,317652,,1
FIRE/DOMESTIC,20200310071241.000000000,20200310063322.000000000,20200310062418.000000000,20200310061949.000000000,20200310062219.000000000,20200310071525.000000000,DF-20-003167,231131,A,D1,317778,,1
FIRE/DOMESTIC,20200310000742.000000000,20200309235948.000000000,20200309235409.000000000,20200309234936.000000000,20200309235239.000000000,20200310001130.000000000,DF-20-003166,224593,A,D12,321689,,1
FIRE/DOMESTIC PERSONS REPORTED,20200309222000.000000000,20200309213954.000000000,20200309213329.000000000,20200309213117.000000000,20200309213223.000000000,20200309225918.000000000,DF-20-003157,232127,B,D7,304708,,1
FIRE/DOMESTIC,20200308143555.000000000,20200308135245.000000000,20200308134619.000000000,20200308134258.000000000,20200308134503.000000000,20200308151937.000000000,DF-20-003074,233250,B,D7,305592,,1
FIRE/DOMESTIC,20200308093911.000000000,20200308090534.000000000,20200308085749.000000000,20200308085348.000000000,20200308085614.000000000,20200308094928.000000000,DF-20-003065,225581,B,D7,310792,,1
FIRE/HIGHRISE BUILDINGS,20200308062155.000000000,20200308054730.000000000,20200308053936.000000000,20200308053628.000000000,20200308053745.000000000,20200308065114.000000000,DF-20-003062,227609,B,D7,309619,,1
FIRE/DOMESTIC,,,20200307171704.000000000,20200307170815.000000000,20200307171405.000000000,20200307173924.000000000,DF-20-003044,232633,A,D1,318525,,1
FIRE/DOMESTIC,20200307145215.000000000,20200307141152.000000000,20200307141154.000000000,20200307140905.000000000,20200307141019.000000000,20200307150336.000000000,DF-20-003038,235652,D,D4,317519,,1
FIRE/HIGHRISE BUILDINGS,20200307085632.000000000,20200307080332.000000000,20200307080005.000000000,20200307075547.000000000,20200307075818.000000000,20200307090218.000000000,DF-20-003026,234708,D,D4,317376,,1
FIRE/DOMESTIC,20200307021248.000000000,,20200307020225.000000000,20200307015652.000000000,20200307015943.000000000,20200307022422.000000000,DF-20-003019,224628,A,D12,321658,,1
FIRE/DOMESTIC PERSONS REPORTED,20200306212423.000000000,,20200306212051.000000000,20200306211628.000000000,20200306211902.000000000,20200306213516.000000000,DF-20-003006,223948,A,D12,324892,,1
FIRE/DOMESTIC PERSONS REPORTED,20200306213500.000000000,20200306211319.000000000,20200306210542.000000000,20200306210237.000000000,20200306210403.000000000,20200306214032.000000000,DF-20-002999,230567,B,D2,314518,,1
FIRE/DOMESTIC PERSONS REPORTED,20200306202225.000000000,20200306201518.000000000,20200306201140.000000000,20200306200730.000000000,20200306200945.000000000,20200306202725.000000000,DF-20-002990,240017,C,D9,307283,,1
FIRE/DOMESTIC,20200306160844.000000000,20200306160216.000000000,20200306155642.000000000,20200306155150.000000000,20200306155535.000000000,20200306162753.000000000,DF-20-002971,237520,D,D6,318920,,1
FIRE/DOMESTIC PERSONS REPORTED,20200306084322.000000000,20200306081742.000000000,20200306081402.000000000,20200306081056.000000000,20200306081240.000000000,20200306085205.000000000,DF-20-002959,233142,A,D1,317276,,1
FIRE/DOMESTIC,20200306075902.000000000,20200306074206.000000000,20200306074214.000000000,20200306073811.000000000,20200306074053.000000000,20200306081813.000000000,DF-20-002958,237516,D,D6,318933,,1
FIRE/DOMESTIC,20200305184155.000000000,20200305182734.000000000,20200305182124.000000000,20200305181825.000000000,20200305182042.000000000,20200305193937.000000000,DF-20-002926,237714,D,D6,319090,,1
FIRE/DOMESTIC,20200305164139.000000000,20200305163240.000000000,20200305162350.000000000,20200305161909.000000000,20200305162216.000000000,20200305164946.000000000,DF-20-002925,223450,A,D12,327800,,0
FIRE/DOMESTIC,20200305002749.000000000,20200305002141.000000000,20200305001533.000000000,20200305000616.000000000,20200305001412.000000000,20200305010457.000000000,DF-20-002893,233628,B,D2,312359,,1
FIRE/DOMESTIC,20200305000215.000000000,20200304231413.000000000,20200304231141.000000000,20200304230735.000000000,20200304231021.000000000,20200305004714.000000000,DF-20-002887,246618,F,D13,318172,,1
FIRE/CARAVAN,20200304200424.000000000,20200304190154.000000000,20200304185556.000000000,20200304185112.000000000,20200304185407.000000000,20200304202111.000000000,DF-20-002869,241014,D,D6,319631,,1
FIRE/DOMESTIC,20200304124606.000000000,20200304124057.000000000,20200304123737.000000000,20200304123323.000000000,20200304123547.000000000,20200304125511.000000000,DF-20-002849,235093,C,D3,315390,,1
FIRE/DOMESTIC,20191119200855.000000000,20191119195730.000000000,20191119195323.000000000,20191119194907.000000000,20191119195110.000000000,20191119202032.000000000,DF-19-017710,234707,E,D10,315337,,1
FIRE/DOMESTIC,20191119142033.000000000,20191119141622.000000000,20191119141618.000000000,20191119141229.000000000,20191119141413.000000000,20191119163758.000000000,DF-19-017686,229080,B,D7,313326,,1
FIRE/DOMESTIC PERSONS REPORTED,20191119125258.000000000,20191119124602.000000000,20191119123818.000000000,20191119123419.000000000,20191119123706.000000000,20191119130449.000000000,DF-19-017679,227813,B,D7,304180,,1
FIRE/DOMESTIC,20191118232132.000000000,20191118225722.000000000,20191118224840.000000000,20191118224528.000000000,20191118224629.000000000,20191118232703.000000000,DF-19-017650,238136,D,D4,317977,,1
FIRE/DOMESTIC,20191118132136.000000000,20191118131028.000000000,20191118130629.000000000,20191118130351.000000000,20191118130512.000000000,20191118132807.000000000,DF-19-017579,230887,A,D1,317446,,1
FIRE/DOMESTIC,20191117114149.000000000,20191117102954.000000000,20191117102644.000000000,20191117102335.000000000,20191117102508.000000000,20191117124219.000000000,DF-19-017532,235155,E,D10,316890,,1
FIRE/UNDERGROUND,20191116010000.000000000,20191116003814.000000000,20191116003342.000000000,20191116003145.000000000,20191116003253.000000000,20191116010359.000000000,DF-19-017481,231981,B,D2,311210,,1
FIRE/DOMESTIC,20191116003856.000000000,20191116003530.000000000,20191116003223.000000000,20191116002802.000000000,20191116003052.000000000,20191116004253.000000000,DF-19-017480,235495,C,D3,315358,,1
FIRE/DOMESTIC,20191115205406.000000000,20191115201452.000000000,20191115201127.000000000,20191115200930.000000000,20191115201037.000000000,20191115210347.000000000,DF-19-017464,246330,F,D13,317607,,1
FIRE/DOMESTIC PERSONS REPORTED,20191114194118.000000000,20191114193545.000000000,20191114193352.000000000,20191114193050.000000000,20191114193232.000000000,20191114194958.000000000,DF-19-017402,232889,B,D2,313368,,1
FIRE/DOMESTIC,20191114185101.000000000,20191114184349.000000000,20191114183614.000000000,20191114183300.000000000,20191114183445.000000000,20191114191506.000000000,DF-19-017397,233311,B,D2,313973,,1
FIRE/DOMESTIC PERSONS REPORTED,20191114183400.000000000,,20191114182545.000000000,20191114182307.000000000,20191114182442.000000000,20191114191258.000000000,DF-19-017395,235269,D,D4,317625,,1
